HDR,ROLLING SYSTEM DEMAND
VD,20201001220000,26848
VD,20201001220500,26469
VD,20201001221000,26130
VD,20201001221500,25680
VD,20201001222000,25354
VD,20201001222500,25009
VD,20201001223000,24850
VD,20201001223500,24643
VD,20201001224000,24390
VD,20201001224500,24148
VD,20201001225000,23883
VD,20201001225500,23648
VD,20201001230000,23566
VD,20201001230500,23447
VD,20201001231000,23354
VD,20201001231500,23213
VD,20201001232000,23147
VD,20201001232500,23056
VD,20201001233000,22918
VD,20201001233500,22751
VD,20201001234000,22510
VD,20201001234500,22382
VD,20201001235000,22302
VD,20201001235500,22245
VD,20201002000000,22202
VD,20201002000500,22396
VD,20201002001000,22335
VD,20201002001500,22224
VD,20201002002000,22166
VD,20201002002500,22130
VD,20201002003000,22090
VD,20201002003500,22197
VD,20201002004000,22304
VD,20201002004500,22374
VD,20201002005000,22359
VD,20201002005500,22353
VD,20201002010000,22472
VD,20201002010500,22496
VD,20201002011000,22452
VD,20201002011500,22389
VD,20201002012000,22268
VD,20201002012500,22198
VD,20201002013000,22141
VD,20201002013500,22234
VD,20201002014000,22215
VD,20201002014500,22206
VD,20201002015000,22167
VD,20201002015500,22086
VD,20201002020000,21954
VD,20201002020500,21922
VD,20201002021000,21855
VD,20201002021500,21837
VD,20201002022000,21858
VD,20201002022500,21841
VD,20201002023000,21780
VD,20201002023500,21639
VD,20201002024000,21552
VD,20201002024500,21476
VD,20201002025000,21533
VD,20201002025500,21570
VD,20201002030000,21489
VD,20201002030500,21367
VD,20201002031000,21401
VD,20201002031500,21411
VD,20201002032000,21322
VD,20201002032500,21195
VD,20201002033000,21170
VD,20201002033500,21264
VD,20201002034000,21313
VD,20201002034500,21302
VD,20201002035000,21349
VD,20201002035500,21373
VD,20201002040000,21376
VD,20201002040500,21294
VD,20201002041000,21534
VD,20201002041500,21695
VD,20201002042000,21805
VD,20201002042500,21875
VD,20201002043000,22029
VD,20201002043500,22254
VD,20201002044000,22382
VD,20201002044500,22479
VD,20201002045000,22688
VD,20201002045500,22807
VD,20201002050000,23105
VD,20201002050500,24080
VD,20201002051000,24564
VD,20201002051500,24976
VD,20201002052000,25334
VD,20201002052500,25560
VD,20201002053000,25934
VD,20201002053500,26395
VD,20201002054000,26827
VD,20201002054500,27340
VD,20201002055000,27770
VD,20201002055500,28181
VD,20201002060000,28537
VD,20201002060500,28808
VD,20201002061000,29288
VD,20201002061500,29825
VD,20201002062000,30142
